,French,English
0,partie,part
1,chercher,search
2,seulement,only
3,aide,help
4,demande,request
5,genre,kind
6,mois,month
7,frère,brother
8,car,because
9,mettre,to put
10,aucun,no
11,ville,city
12,parlé,speak
13,arrivé,come
14,longtemps,long time
15,heures,hours
16,vont,will
17,pendant,while
18,revoir,meet again
19,place,square
20,parle,speak
21,compris,understood
22,savais,knew
23,étaient,were
24,voici,here is
25,pourrais,could
26,affaire,case
27,donner,give
28,type,type
29,leurs,their
30,donné,given
31,train,train
32,corps,body
33,endroit,place
34,yeux,eyes
35,façon,way
36,écoute,listen
37,dont,whose
38,trouve,find
39,premier,first
40,perdu,lost
41,main,hand
42,première,first
43,côté,side
44,pouvoir,power
45,vieux,old
46,sois,be
47,tiens,here
48,matin,morning
49,tellement,so much
50,enfant,child
51,point,point
52,venu,came
53,suite,after
54,pardon,sorry
55,venez,come
56,devant,in front of
57,vers,towards
58,chambre,bedroom
59,mis,placed
60,belle,beautiful
61,droit,law
62,aimerais,would like to
63,aujourd'hui,today
64,mari,husband
65,cause,cause
66,enfin,finally
67,attendez,Wait
68,parti,left
69,nouvelle,new
70,arrêter,Stop
71,terre,Earth
72,compte,account
73,donne,given
74,loin,far
75,fin,end
76,chérie,sweetheart
77,gros,large
78,plutôt,rather
79,aura,will have
80,filles,girls
81,bureau,office
